split,model,lead,factor,penalty,mean_inventory,shortage,fill_rate,cost
validation,naive,0,0.5,10,201.90333333333334,12740.0,0.8276678344853707,187971.0
validation,naive,0,1.0,2,282.4066666666667,8679.0,0.8826004031003557,102080.0
validation,naive,0,1.0,5,282.4066666666667,8679.0,0.8826004031003557,128117.0
validation,naive,0,1.0,10,282.4066666666667,8679.0,0.8826004031003557,171512.0
validation,naive,0,1.5,2,366.6533333333333,5729.0,0.9225046329487196,121454.0
validation,naive,0,1.5,5,366.6533333333333,5729.0,0.9225046329487196,138641.0
validation,naive,0,1.5,10,366.6533333333333,5729.0,0.9225046329487196,167286.0
validation,naive,0,2.0,2,456.4166666666667,4422.0,0.9401842358001813,145769.0
validation,naive,0,2.0,5,456.4166666666667,4422.0,0.9401842358001813,159035.0
validation,naive,0,2.0,10,456.4166666666667,4422.0,0.9401842358001813,181145.0
validation,naive,0,3.0,2,640.5033333333333,3200.0,0.956714055757707,198551.0
validation,naive,0,3.0,5,640.5033333333333,3200.0,0.956714055757707,208151.0
validation,naive,0,3.0,10,640.5033333333333,3200.0,0.956714055757707,224151.0
validation,naive,1,0.0,2,351.25333333333333,22745.0,0.6923316244403263,150866.0
validation,naive,1,0.0,5,351.25333333333333,22745.0,0.6923316244403263,219101.0
validation,naive,1,0.0,10,351.25333333333333,22745.0,0.6923316244403263,332826.0
validation,naive,1,0.5,2,437.11,17702.0,0.760547567194665,166537.0
validation,naive,1,0.5,5,437.11,17702.0,0.760547567194665,219643.0
validation,naive,1,0.5,10,437.11,17702.0,0.760547567194665,308153.0
validation,naive,1,1.0,2,529.2766666666666,14084.0,0.8094877379036076,186951.0
validation,naive,1,1.0,5,529.2766666666666,14084.0,0.8094877379036076,229203.0
validation,naive,1,1.0,10,529.2766666666666,14084.0,0.8094877379036076,299623.0
validation,naive,1,1.5,2,623.0833333333334,11256.0,0.8477416911277341,209437.0
validation,naive,1,1.5,5,623.0833333333334,11256.0,0.8477416911277341,243205.0
validation,naive,1,1.5,10,623.0833333333334,11256.0,0.8477416911277341,299485.0
validation,naive,1,2.0,2,733.13,9642.0,0.8695740392549407,239223.0
validation,naive,1,2.0,5,733.13,9642.0,0.8695740392549407,268149.0
validation,naive,1,2.0,10,733.13,9642.0,0.8695740392549407,316359.0
validation,naive,1,3.0,2,969.6266666666667,8577.0,0.8839801425730789,308042.0
validation,naive,1,3.0,5,969.6266666666667,8577.0,0.8839801425730789,333773.0
validation,naive,1,3.0,10,969.6266666666667,8577.0,0.8839801425730789,376658.0
validation,ridge,0,0.0,2,91.49,16606.0,0.7753730030976503,60659.0
validation,ridge,0,0.0,5,91.49,16606.0,0.7753730030976503,110477.0
validation,ridge,0,0.0,10,91.49,16606.0,0.7753730030976503,193507.0
validation,ridge,0,0.5,2,166.16,10769.0,0.8543292707671081,71386.0
validation,ridge,0,0.5,5,166.16,10769.0,0.8543292707671081,103693.0
validation,ridge,0,0.5,10,166.16,10769.0,0.8543292707671081,157538.0
validation,ridge,0,1.0,2,248.40333333333334,7226.0,0.9022549271578719,88973.0
validation,ridge,0,1.0,5,248.40333333333334,7226.0,0.9022549271578719,110651.0
validation,ridge,0,1.0,10,248.40333333333334,7226.0,0.9022549271578719,146781.0
validation,ridge,0,1.5,2,335.27,5042.0,0.931797584103237,110665.0
validation,ridge,0,1.5,5,335.27,5042.0,0.931797584103237,125791.0
validation,ridge,0,1.5,10,335.27,5042.0,0.931797584103237,151001.0
validation,ridge,0,2.0,2,425.54333333333335,3902.0,0.9472182017395538,135467.0
validation,ridge,0,2.0,5,425.54333333333335,3902.0,0.9472182017395538,147173.0
validation,ridge,0,2.0,10,425.54333333333335,3902.0,0.9472182017395538,166683.0
validation,ridge,0,3.0,2,610.75,2998.0,0.9594464809880017,189221.0
validation,ridge,0,3.0,5,610.75,2998.0,0.9594464809880017,198215.0
validation,ridge,0,3.0,10,610.75,2998.0,0.9594464809880017,213205.0
validation,ridge,1,0.0,2,173.72666666666666,19067.0,0.7420834066038119,90252.0
validation,ridge,1,0.0,5,173.72666666666666,19067.0,0.7420834066038119,147453.0
validation,ridge,1,0.0,10,173.72666666666666,19067.0,0.7420834066038119,242788.0
validation,ridge,1,0.5,2,268.67,14969.0,0.7975164689490984,110539.0
validation,ridge,1,0.5,5,268.67,14969.0,0.7975164689490984,155446.0
validation,ridge,1,0.5,10,268.67,14969.0,0.7975164689490984,230291.0
validation,ridge,1,1.0,2,370.85333333333335,11981.0,0.8379347193853396,135218.0
validation,ridge,1,1.0,5,370.85333333333335,11981.0,0.8379347193853396,171161.0
validation,ridge,1,1.0,10,370.85333333333335,11981.0,0.8379347193853396,231066.0
validation,ridge,1,1.5,2,477.6,9695.0,0.8688571158034277,162670.0
validation,ridge,1,1.5,5,477.6,9695.0,0.8688571158034277,191755.0
validation,ridge,1,1.5,10,477.6,9695.0,0.8688571158034277,240230.0
validation,ridge,1,2.0,2,593.9133333333333,8845.0,0.8803549447427867,195864.0
validation,ridge,1,2.0,5,593.9133333333333,8845.0,0.8803549447427867,222399.0
validation,ridge,1,2.0,10,593.9133333333333,8845.0,0.8803549447427867,266624.0
validation,ridge,1,3.0,2,833.6366666666667,8209.0,0.8889580261609425,266509.0
validation,ridge,1,3.0,5,833.6366666666667,8209.0,0.8889580261609425,291136.0
validation,ridge,1,3.0,10,833.6366666666667,8209.0,0.8889580261609425,332181.0
