split,model,product_id,mae,wape
test,ridge,79321,170.56929250774473,0.5863166743319785
test,ridge,84879,244.40041696590762,0.28446217299620674
test,ridge,85099B,505.63070798109356,0.43038505431785523
test,ridge,85099C,141.38385153725838,0.4617872124243605
test,ridge,85099F,205.22126201576944,0.6201599456532947
test,ridge,85123A,331.71233148423977,0.5279941607389411
validation,moving_average,15056N,82.0625,0.7723529411764706
validation,moving_average,20685,74.47916666666667,1.0768072289156627
validation,moving_average,20725,131.08333333333334,0.39692152409790565
validation,moving_average,21137,106.125,0.8389328063241107
validation,moving_average,21232,39.770833333333336,0.33119361554476057
validation,moving_average,21621,29.6875,0.7934298440979956
validation,moving_average,21623,19.333333333333332,4.0701754385964914
validation,moving_average,21754,13.041666666666666,0.3708530805687204
validation,moving_average,21843,5.9375,0.5017605633802817
validation,moving_average,21931,90.375,0.295182362547632
validation,moving_average,22189,147.14583333333334,1.470233139050791
validation,moving_average,22197,556.0833333333334,0.7575207174480645
validation,moving_average,22386,99.25,0.24261560399266652
validation,moving_average,22411,72.625,0.3164488017429194
validation,moving_average,22423,70.41666666666667,0.45675675675675675
validation,moving_average,47566,193.0625,0.4450153668843642
validation,moving_average,48138,41.270833333333336,1.3756944444444446
validation,moving_average,48185,40.083333333333336,3.317241379310345
validation,moving_average,48194,98.5625,1.4406211936662607
validation,moving_average,79321,127.0625,0.9119318181818182
validation,moving_average,84879,606.8958333333334,0.7820822594501718
validation,moving_average,85099B,324.2708333333333,0.3826580784737929
validation,moving_average,85099C,96.85416666666667,0.46139341008336643
validation,moving_average,85099F,217.125,0.5847172351885098
validation,moving_average,85123A,267.8958333333333,0.5382136279926335
validation,naive,15056N,126.66666666666667,1.192156862745098
validation,naive,20685,83.41666666666667,1.2060240963855422
validation,naive,20725,107.83333333333333,0.326520312894272
validation,naive,21137,154.58333333333334,1.2220026350461133
validation,naive,21232,49.416666666666664,0.4115197779319917
validation,naive,21621,35.0,0.9354120267260579
validation,naive,21623,20.583333333333332,4.333333333333333
validation,naive,21754,16.666666666666668,0.47393364928909953
validation,naive,21843,7.333333333333333,0.6197183098591549
validation,naive,21931,99.08333333333333,0.3236254763200871
validation,naive,22189,154.83333333333334,1.5470441298917568
validation,naive,22197,518.6666666666666,0.7065501191962765
validation,naive,22386,159.5,0.3898961091872072
validation,naive,22411,114.66666666666667,0.49963689179375453
validation,naive,22423,49.75,0.3227027027027027
validation,naive,47566,259.9166666666667,0.5991164041490588
validation,naive,48138,22.416666666666668,0.7472222222222222
validation,naive,48185,9.0,0.7448275862068966
validation,naive,48194,94.0,1.3739342265529841
validation,naive,79321,151.33333333333334,1.0861244019138756
validation,naive,84879,684.0,0.8814432989690721
validation,naive,85099B,373.5833333333333,0.44084964106598484
validation,naive,85099C,116.16666666666667,0.5533942040492259
validation,naive,85099F,286.75,0.7722172351885098
validation,naive,85123A,251.91666666666666,0.5061108320776829
validation,ridge,15056N,74.77485350070585,0.7037633270654667
validation,ridge,20685,107.45938699611276,1.553629691510064
validation,ridge,20725,106.7121640913253,0.3231254022447398
validation,ridge,21137,101.01758611015991,0.798557992965691
validation,ridge,21232,78.11394545804296,0.6504978108927936
validation,ridge,21621,47.92896690997219,1.2809523450326643
validation,ridge,21623,89.03305447234646,18.743800941546624
validation,ridge,21754,25.390648784558223,0.722008970177011
validation,ridge,21843,15.832736630685192,1.3379777434381852
validation,ridge,21931,65.50910779783624,0.2139655126766562
validation,ridge,22189,151.82620523216576,1.5169978874154781
validation,ridge,22197,426.1440506417205,0.5805118183335959
validation,ridge,22386,98.07378997346241,0.2397403706827356
validation,ridge,22411,71.20189007954087,0.310247887056823
validation,ridge,22423,67.81281697978216,0.4398669209499383
validation,ridge,47566,181.4712170393427,0.41829708115100117
validation,ridge,48138,56.2048753808632,1.8734958460287734
validation,ridge,48185,80.32965325701528,6.647971304028851
validation,ridge,48194,101.47884416289374,1.483247417728045
validation,ridge,79321,103.87561952501488,0.7455188004187671
validation,ridge,84879,576.0697380966279,0.742357909918335
validation,ridge,85099B,289.4649622080449,0.34158516535515177
validation,ridge,85099C,111.52618984573564,0.5312879230443937
validation,ridge,85099F,185.81113068354964,0.5003890413381049
validation,ridge,85123A,357.19009989234627,0.7176094422749297
